Date,Division,Product,Revenue,Expense,Profit,Employee_Count,Customer_Count,New_Customers,Lost_Customers,Ad_Spend,IT_Spend,R&D_Spend,Year,Forecast_Revenue,Forecast_Expense,Forecast_Profit
2018-07-01,South,Smartwatches,112572.21798169194,61471.89101722281,22143.207170507376,86,775,22,13,7588.598675726316,5540.8025616853065,31997.83968303128,2018,118200.82888077653,63316.047747739496,54884.78113303704
2024-12-01,South,Smartwatches,72210.9298051442,74451.48431797964,27499.36579314044,51,630,38,9,8954.424161451141,17242.20632242957,23150.15710353928,2024,75821.47629540141,76685.02884751903,-863.5525521176169
2017-09-01,East,Laptops,140985.36216073428,60806.91573031733,16539.024384965458,55,997,22,17,5578.711568350152,7035.7875806531165,37514.44051905768,2017,148034.630268771,62631.123202226845,85403.50706654415
2011-03-01,West,Smartwatches,82450.2285561008,56828.709273255976,28456.279271579013,34,167,44,5,6492.259555587297,5226.087693508966,25314.6986103668,2011,86572.73998390585,58533.57055145365,28039.169432452196
2018-11-01,South,Smartwatches,99231.91328661826,116539.89014699598,21824.519640064,76,197,35,9,8779.688422121279,13932.511982402631,22442.54316643277,2018,104193.50895094918,120036.08685140587,-15842.577900456687
2015-12-01,South,Headphones,130629.65795043256,70865.37858220976,11266.517852776786,44,106,46,11,2289.001609806264,8879.616258405675,35092.1261452356,2015,137161.1408479542,72991.33993967605,64169.80090827815
2011-09-01,East,Headphones,138692.50593474723,72184.50607118268,13570.636907471631,82,914,24,2,2459.781853784336,15639.160084119178,23650.21745800875,2011,145627.13123148459,74350.04125331817,71277.08997816642
2018-07-01,West,Laptops,116119.08159462948,81203.28648498713,17098.227295355515,87,276,40,13,4233.132588294158,12046.747649734443,26319.97626865397,2018,121925.03567436096,83639.38507953675,38285.65059482421
2020-02-01,South,Smartphones,89906.10620508908,64073.93701377505,19558.845002208003,31,305,46,1,3781.614525713556,14082.860606263104,38434.94642342158,2020,94401.41151534353,65996.1551241883,28405.256391155228
2016-03-01,South,Speakers,102554.691058886,72474.97890671405,26192.20516124617,18,398,14,8,9877.363266492976,15345.59492138862,44133.3802905574,2016,107682.42561183032,74649.22827391548,33033.19733791484
2017-04-01,West,Speakers,103339.34558215708,107516.13752752171,19551.650686070352,33,899,7,15,6076.827774836309,18903.918852852177,27392.064847846366,2017,108506.31286126495,110741.62165334736,-2235.308792082418
2019-09-01,South,Smartwatches,104047.80914618268,85371.49374336872,25996.467574271388,32,328,25,2,5715.159651631387,17346.655590001512,30888.000354952244,2019,109250.19960349183,87932.63855566978,21317.561047822048
2018-04-01,West,Smartphones,75398.93945175072,94791.226136482,20539.75824084679,70,995,40,3,6208.467757929636,12426.680068541438,39855.30024540037,2018,79168.88642433826,97634.96292057646,-18466.07649623821
2018-08-01,West,Laptops,125202.19064790977,103603.89550002424,20061.89834127052,46,730,14,17,8876.389376816718,11570.23822826943,18997.93443433561,2018,131462.30018030526,106712.01236502497,24750.287815280288
2022-08-01,East,Laptops,102691.77951875556,83159.74229545906,18540.28349029519,54,369,11,18,3191.9299194724904,14820.141269241682,26600.22956554552,2022,107826.36849469335,85654.53456432284,22171.833930370514
2020-11-01,North,Headphones,85555.62462100117,76681.31740172871,24910.12280449424,24,180,26,17,5598.705511389092,16003.01183322138,42458.28062626989,2020,89833.40585205123,78981.75692378057,10851.64892827066
2022-06-01,West,Smartwatches,90032.13824505117,58492.18313542554,20647.38861608445,66,771,27,14,3438.6687351601718,7589.803217825214,45779.32288291936,2022,94533.74515730374,60246.94862948831,34286.79652781543
2014-05-01,East,Tablets,105397.00071017424,74256.59829838031,16337.22658837216,23,287,16,11,8025.186798720337,5487.867433968508,35796.18233561599,2014,110666.85074568295,76484.29624733172,34182.55449835124
2010-02-01,North,Laptops,71941.86700883188,77562.53353496526,21660.39802979624,61,799,43,14,7994.037294126217,11819.792777225744,25735.81520496536,2010,75538.96035927348,79889.40954101422,-4350.44918174074
2017-04-01,South,Smartwatches,117568.70152331912,67890.8298551131,17713.376447611507,93,919,17,5,9616.867467529191,6491.796834136828,34236.90943714011,2017,123447.13659948508,69927.55475076649,53519.58184871859
2023-02-01,North,Smartphones,104694.60604819484,103178.3811405706,17437.056645029985,45,600,44,6,5021.398538619562,9091.00276361677,17153.679597844013,2023,109929.33635060459,106273.73257478772,3655.6037758168677
2013-02-01,West,Headphones,131313.79234052185,96534.41844230768,25913.24264247828,36,805,17,19,2427.8594682479084,13771.093990444928,11171.83252253055,2013,137879.48195754795,99430.45099557692,38449.03096197103
