Date,Division,Product,Revenue,Expense,Profit,Employee_Count,Customer_Count,New_Customers,Lost_Customers,Ad_Spend,IT_Spend,R&D_Spend,Year
2018-07-01,South,Smartwatches,112572.21798169194,61471.89101722281,22143.207170507376,86,775,22,13,7588.598675726316,5540.8025616853065,31997.839683031278,2018
2024-12-01,South,Smartwatches,72210.9298051442,74451.48431797964,27499.365793140438,51,630,38,9,8954.424161451141,17242.20632242957,23150.157103539277,2024
2017-09-01,East,Laptops,140985.36216073428,60806.91573031733,16539.024384965458,55,997,22,17,5578.7115683501515,7035.7875806531165,37514.44051905768,2017
2011-03-01,West,Smartwatches,82450.2285561008,56828.709273255976,28456.279271579013,34,167,44,5,6492.259555587297,5226.087693508966,25314.698610366802,2011
2018-11-01,South,Smartwatches,99231.91328661826,116539.89014699598,21824.519640063998,76,197,35,9,8779.688422121279,13932.511982402633,22442.543166432766,2018
2015-12-01,South,Headphones,130629.65795043255,70865.37858220976,11266.517852776786,44,106,46,11,2289.0016098062633,8879.616258405675,35092.1261452356,2015
2011-09-01,East,Headphones,138692.50593474723,72184.50607118268,13570.636907471631,82,914,24,2,2459.781853784336,15639.160084119178,23650.21745800875,2011
2018-07-01,West,Laptops,116119.08159462949,81203.28648498713,17098.227295355515,87,276,40,13,4233.132588294158,12046.747649734443,26319.97626865397,2018
2020-02-01,South,Smartphones,89906.10620508908,64073.93701377505,19558.845002208003,31,305,46,1,3781.6145257135563,14082.860606263104,38434.94642342158,2020
2016-03-01,South,Speakers,102554.691058886,72474.97890671405,26192.20516124617,18,398,14,8,9877.363266492977,15345.59492138862,44133.3802905574,2016
2017-04-01,West,Speakers,103339.34558215708,107516.13752752171,19551.650686070352,33,899,7,15,6076.827774836309,18903.918852852177,27392.064847846366,2017
2019-09-01,South,Smartwatches,104047.80914618268,85371.49374336872,25996.467574271388,32,328,25,2,5715.159651631387,17346.655590001512,30888.000354952244,2019
2018-04-01,West,Smartphones,75398.93945175072,94791.22613648199,20539.75824084679,70,995,40,3,6208.467757929636,12426.680068541438,39855.30024540037,2018
2018-08-01,West,Laptops,125202.19064790975,103603.89550002423,20061.89834127052,46,730,14,17,8876.389376816718,11570.23822826943,18997.934434335606,2018
2022-08-01,East,Laptops,102691.77951875557,83159.74229545906,18540.28349029519,54,369,11,18,3191.9299194724904,14820.141269241682,26600.22956554552,2022
2020-11-01,North,Headphones,85555.62462100117,76681.31740172871,24910.122804494236,24,180,26,17,5598.705511389092,16003.01183322138,42458.28062626989,2020
2022-06-01,West,Smartwatches,90032.13824505117,58492.18313542554,20647.38861608445,66,771,27,14,3438.6687351601713,7589.803217825214,45779.32288291936,2022
2014-05-01,East,Tablets,105397.00071017425,74256.59829838031,16337.22658837216,23,287,16,11,8025.186798720337,5487.867433968508,35796.18233561599,2014
2010-02-01,North,Laptops,71941.86700883188,77562.53353496526,21660.398029796237,61,799,43,14,7994.037294126217,11819.792777225743,25735.815204965358,2010
2017-04-01,South,Smartwatches,117568.70152331913,67890.8298551131,17713.376447611507,93,919,17,5,9616.867467529191,6491.796834136828,34236.90943714011,2017
2023-02-01,North,Smartphones,104694.60604819484,103178.38114057061,17437.056645029985,45,600,44,6,5021.398538619562,9091.00276361677,17153.679597844013,2023
2013-02-01,West,Headphones,131313.79234052185,96534.41844230767,25913.24264247828,36,805,17,19,2427.8594682479084,13771.093990444928,11171.83252253055,2013
2020-10-01,West,Speakers,101551.67442269142,94783.13261114547,19203.168570237798,26,586,37,11,9067.698022978759,7271.780494452687,12984.609722531504,2020
2011-09-01,West,Smartphones,78294.64120428902,78256.96039611833,30672.97775711122,99,871,35,2,9015.423561722018,5427.39560342236,14326.89673002105,2011
2023-05-01,West,Laptops,76043.93620245329,64504.52224018705,23676.32189927729,50,587,32,10,3112.0258624902694,13319.011923831416,19026.379869226457,2023
2014-10-01,West,Laptops,92185.88772175144,99920.0227132565,16171.108583449839,13,577,23,13,3486.428348958967,11993.413254006435,28469.028384136745,2014
2011-10-01,East,Smartphones,94301.90466756938,85030.41927011574,15827.855082892482,12,802,25,2,3820.7269651721667,9594.546004309068,19292.33627545945,2011
2017-05-01,West,Laptops,88654.76570684837,91596.23558531413,13796.200911815375,28,388,36,14,5065.750669053337,12031.787161012204,33401.272485017835,2017
2014-01-01,East,Smartwatches,102569.61065836869,89288.71001874532,23029.714355890712,50,205,30,17,8461.388641412621,15252.839590604968,49931.99313891544,2014
2014-11-01,South,Laptops,88147.12612228647,84659.40881535747,15716.923863441225,49,740,17,9,2299.329014814196,6635.0110426107785,29927.243779814322,2014
2024-02-01,West,Headphones,105084.11788848478,109994.23724762314,8671.921168269415,67,708,33,8,7303.51840658821,8835.341656348957,40274.21418267212,2024
2011-03-01,West,Smartwatches,89587.03168663461,70139.09491504928,11742.8209809427,48,675,11,8,4175.201966963925,16924.406689032992,21696.06229582284,2011
2024-07-01,North,Tablets,112634.07415469142,75366.0567223822,14479.303118989143,16,739,30,7,2760.9684302205005,15051.840394292967,48515.18945839089,2024
2014-03-01,South,Laptops,93798.02413246353,104617.37902632983,21684.267080569687,45,322,10,16,4045.946230064461,8993.802851308785,19964.21902368787,2014
2018-12-01,West,Laptops,124924.13344534865,81230.95123261109,19586.884010689224,92,904,36,19,5799.483472780669,10972.258118488407,33865.24013689732,2018
2014-07-01,West,Headphones,113045.89399579307,78110.99849780725,24714.210876662444,85,481,40,17,9292.726256657506,6796.244810805746,49333.227975369366,2014
2015-04-01,South,Headphones,103871.70679623411,76204.89297801835,15464.04688101002,29,937,27,1,6654.417616401434,8796.914107164795,42329.824309169606,2015
2020-11-01,East,Speakers,95846.45466720182,90189.53919415639,18378.21408701481,85,203,15,13,6463.730166898746,17617.277614321378,49681.33225508946,2020
2014-03-01,West,Smartphones,69619.80549342754,76560.72760867867,28736.667302702477,38,763,25,16,1978.669331713024,11606.159656126209,25189.519429014406,2014
2021-03-01,North,Smartphones,128270.98809347843,74876.70001975556,18294.10451087588,93,213,23,6,1718.208748120348,14604.392711286615,13105.25988855228,2021
2011-09-01,West,Smartphones,86384.45843165401,89942.23424600052,21122.27251821001,77,607,38,15,2165.1723712949597,7396.122060782112,19739.626243544895,2011
2016-01-01,North,Headphones,101814.64268804439,81398.85749582056,16718.52740956835,75,154,48,12,1859.9107587801827,7749.5849597832785,48304.54016495101,2016
2023-11-01,North,Smartphones,106876.08647071764,64858.29514618279,18872.28153804025,56,220,39,8,6187.279915637563,19113.816792854042,24823.120879247836,2023
2011-06-01,West,Smartphones,96329.76880843882,80480.24626452857,22376.340610573396,32,316,35,1,5073.537246657603,17621.503844525327,14990.945370729474,2011
2020-12-01,West,Tablets,127092.02108716055,100917.97252944164,23285.4676136411,15,734,33,11,1044.9290610817764,16854.9613875943,33724.19210322428,2020
2017-05-01,North,Smartphones,75572.58165182506,91479.59218867436,20590.64577041797,27,102,10,15,4159.599875367844,9943.85425708731,30016.944708809282,2017
2014-12-01,South,Laptops,134678.69613974675,102769.69507135442,18700.82231254398,62,191,40,1,2146.2773652717797,13441.339765548162,12498.762617300354,2014
2011-02-01,South,Speakers,113431.15115016632,69030.50106286183,20651.029406125028,31,506,35,16,9893.075484192988,12385.115925241731,28117.825875134637,2011
2010-09-01,West,Headphones,95071.58826331061,96053.44662120547,16319.357148114304,77,775,36,7,5141.418033085785,19343.459850957886,35314.747683215755,2010
2017-06-01,East,Smartwatches,95295.40012137423,70272.24701053792,18922.511112694494,84,540,44,1,4835.139748943742,8594.516453665145,19307.51853328116,2017
2014-05-01,South,Speakers,55663.56992192317,61514.10618408585,21661.697014171794,44,730,24,2,6797.568986803427,19208.49464210851,14977.629260542766,2014
2020-10-01,West,Tablets,83035.34459663797,67954.04424892334,24934.95841233266,84,531,26,8,4213.841531835049,15602.756578247974,44591.87003126403,2020
2016-12-01,South,Headphones,92921.92489973914,81971.15395091695,15442.414855218936,18,160,7,11,7439.631651664559,11205.373173017138,35017.92389650766,2016
2017-08-01,East,Headphones,103522.09952061815,95419.2732473522,19113.993800369943,40,825,12,13,9143.144054282839,8995.322919338118,16210.273803242704,2017
2019-03-01,West,Laptops,125191.62488904454,84656.23466879847,14974.591149069576,52,572,49,5,5490.075579237322,16360.30042539664,35164.323983366965,2019
2024-04-01,East,Speakers,140750.91249657903,77700.77480949664,17777.786044936714,84,346,23,18,4446.307193086063,17344.023901040986,39410.23595426098,2024
2010-08-01,West,Speakers,105445.34197605147,64516.829000204,25002.520885655886,26,846,35,19,5697.0715933714455,10362.91073493136,33901.12110949072,2010
2024-07-01,East,Smartphones,104112.18624285932,90579.96997349377,17317.36699413003,60,968,36,3,6431.974257959264,7578.198667049031,14646.27246379226,2024
2012-11-01,South,Laptops,90192.96464976264,94454.33953683975,19520.023669053702,75,471,19,1,8629.323445339294,12383.668656806232,14989.789653883257,2012
2016-09-01,South,Smartphones,65697.99713354261,84474.25409789583,13816.03230064089,33,388,43,5,4550.3150621414115,12027.534955154526,11805.794914287886,2016
2023-08-01,East,Smartphones,87884.26947589568,64215.22064015728,17194.39690091615,24,689,35,19,1462.8832381022062,15881.03874479094,19360.160614392425,2023
2014-02-01,East,Headphones,95889.97840507954,92130.63694528307,12258.158482826482,37,123,7,9,6676.604410748478,19597.772812154944,12385.963362750987,2014
2018-08-01,East,Speakers,119507.88841330324,98408.6711389213,21393.662135995903,12,505,36,7,9881.904062081538,12969.23293229325,42212.139506042164,2018
2020-12-01,West,Smartphones,110390.29063163893,102995.253079667,21840.46752892875,38,407,14,12,8688.130564822186,15975.789328410243,10616.22111665299,2020
2010-02-01,South,Tablets,104430.9044780212,73434.54491411425,21684.445554596397,61,712,32,14,7824.303822275474,10258.694813831658,33240.678388892586,2010
2021-02-01,West,Tablets,88383.99813021494,86544.57283701799,22005.511844012857,63,471,31,16,2588.5178831364365,13993.62114566139,42393.33632346726,2021
2014-06-01,South,Speakers,60357.66501911738,71982.02362966123,21693.56653751176,67,862,44,13,7737.572971070359,6729.918982476797,45794.51964526816,2014
2018-10-01,North,Tablets,61564.87902534692,66164.57846332365,12368.55284472404,54,734,47,18,1733.2893871804376,17224.01125198121,26378.20219532239,2018
2010-04-01,West,Headphones,66725.27066115977,103748.06267424994,16061.074266543252,86,314,35,10,5445.261744444106,10164.863437018364,34836.9718830665,2010
