Date,Division,Product,Revenue,Expense,Profit,Employee_Count,Customer_Count,New_Customers,Lost_Customers,Ad_Spend,IT_Spend,R&D_Spend,Year,Revenue_Growth,Expense_Growth,Profit_Growth
2018-07-01,South,Smartwatches,112572.21798169194,61471.89101722281,22143.207170507376,86,775,22,13,7588.598675726316,5540.8025616853065,31997.83968303128,2018,,,
2024-12-01,South,Smartwatches,72210.9298051442,74451.48431797964,27499.36579314044,51,630,38,9,8954.424161451141,17242.20632242957,23150.15710353928,2024,-0.3585368477248254,0.21114680361989002,0.24188721088998144
2017-09-01,East,Laptops,140985.36216073428,60806.91573031733,16539.024384965458,55,997,22,17,5578.711568350152,7035.7875806531165,37514.44051905768,2017,,,
2011-03-01,West,Smartwatches,82450.2285561008,56828.709273255976,28456.279271579013,34,167,44,5,6492.259555587297,5226.087693508966,25314.6986103668,2011,,,
2018-11-01,South,Smartwatches,99231.91328661826,116539.89014699598,21824.519640064,76,197,35,9,8779.688422121279,13932.511982402631,22442.54316643277,2018,0.3741952022275321,0.5653131863598346,-0.20636280108292526
2015-12-01,South,Headphones,130629.65795043256,70865.37858220976,11266.517852776786,44,106,46,11,2289.001609806264,8879.616258405675,35092.1261452356,2015,0.3164077323907488,-0.3919216974305991,-0.4837678886597595
2011-09-01,East,Headphones,138692.50593474723,72184.50607118268,13570.636907471631,82,914,24,2,2459.781853784336,15639.160084119178,23650.21745800875,2011,-0.01626308001658372,0.18711013713186375,-0.17947778589601648
2018-07-01,West,Laptops,116119.08159462948,81203.28648498713,17098.227295355515,87,276,40,13,4233.132588294158,12046.747649734443,26319.97626865397,2018,0.408353665334229,0.42891308853291177,-0.39914044516590974
2020-02-01,South,Smartphones,89906.10620508908,64073.93701377505,19558.845002208003,31,305,46,1,3781.614525713556,14082.860606263104,38434.94642342158,2020,-0.311748131200007,-0.09583581862271529,0.7360150898254212
2016-03-01,South,Speakers,102554.691058886,72474.97890671405,26192.20516124617,18,398,14,8,9877.363266492976,15345.59492138862,44133.3802905574,2016,0.14068660503374097,0.13111480711935775,0.3391488688769364
2017-04-01,West,Speakers,103339.34558215708,107516.13752752171,19551.650686070352,33,899,7,15,6076.827774836309,18903.918852852177,27392.064847846366,2017,-0.11005715716118325,0.3240367746371855,0.14348992725001808
2019-09-01,South,Smartwatches,104047.80914618268,85371.49374336872,25996.467574271388,32,328,25,2,5715.159651631387,17346.655590001512,30888.000354952244,2019,0.014559237338439779,0.1779443751650398,-0.007473123617113164
2018-04-01,West,Smartphones,75398.93945175072,94791.226136482,20539.75824084679,70,995,40,3,6208.467757929636,12426.680068541438,39855.30024540037,2018,-0.2703752958082468,-0.11835350193623184,0.05053831876611925
2018-08-01,West,Laptops,125202.19064790977,103603.89550002424,20061.89834127052,46,730,14,17,8876.389376816718,11570.23822826943,18997.93443433561,2018,0.6605298636598085,0.09296925172012882,-0.02326511802003417
2022-08-01,East,Laptops,102691.77951875556,83159.74229545906,18540.28349029519,54,369,11,18,3191.9299194724904,14820.141269241682,26600.22956554552,2022,-0.2595722542711102,0.15204421033862126,0.36620584698477976
2020-11-01,North,Headphones,85555.62462100117,76681.31740172871,24910.12280449424,24,180,26,17,5598.705511389092,16003.01183322138,42458.28062626989,2020,,,
2022-06-01,West,Smartwatches,90032.13824505117,58492.18313542554,20647.38861608445,66,771,27,14,3438.6687351601718,7589.803217825214,45779.32288291936,2022,-0.2809060466183285,-0.4354248664770346,0.02918419108970771
2014-05-01,East,Tablets,105397.00071017424,74256.59829838031,16337.22658837216,23,287,16,11,8025.186798720337,5487.867433968508,35796.18233561599,2014,0.02634311338352635,-0.10706074539585131,-0.11882541618504427
