Month,Division,Product,Revenue,Expense,Employee_Count,Customer_Count,New_Customers,Lost_Customers,Ad_Spend,IT_Spend,R&D_Spend,Profit,Revenue_Growth,Expense_Growth,Profit_Growth
2018-11,East,Laptops,150783.8023454559,74352.65294343226,80,791,9,9,9749.72555699053,6160.219920482627,28428.61101947505,20422.29418800837,,,
2018-01,West,Smartwatches,186742.73082551424,72302.21532065462,47,976,43,10,5690.039898409767,9340.892420329015,15817.898531385272,42691.50123177041,,,
2011-07,West,Smartwatches,125324.301614548,110230.61022699357,78,853,23,15,2032.794938711471,19425.41513774053,32380.11953487821,14546.617855303506,-0.3288932797515606,0.5245813663956147,-0.6592619740324774
2019-03,North,Tablets,194875.81625874952,76595.73335382467,45,259,9,17,2789.3257847204163,7328.196576845771,22618.571122800426,50334.51639334766,,,
2016-04,South,Smartphones,191245.2278110053,60613.847200560085,27,563,24,16,4665.673699453007,9676.76533809869,34729.115849013826,30071.48130959384,,,
2012-01,South,Smartwatches,179759.37949765404,77895.80428800371,66,621,15,8,5897.534739535243,18985.0903970773,31373.40990497575,68915.0690652415,-0.06005822181718401,0.2851156606222469,1.2917084913690373
2018-11,West,Laptops,124996.5897443628,126919.44931986553,87,735,31,17,2636.171184157157,10065.257271603105,47596.96781445658,36338.46099104383,-0.0026149108031188195,0.15139931692753295,1.4980694036583428
2020-06,South,Smartwatches,71135.59155319753,145977.41461574228,32,372,33,11,3499.555219996619,9930.124633304917,27397.205282268937,74244.1275705634,-0.6042732693448918,0.874008695975727,0.07732791358413804
2016-07,North,Headphones,82685.67047230774,106314.02765446136,23,340,11,11,8053.356926049097,14719.31880347256,36575.88832050472,43102.13466689244,-0.5757007100228357,0.3879888996343521,-0.14368632589884323
2017-08,West,Smartphones,147150.50040679635,123852.14705809276,78,754,7,6,4757.334398983758,6970.35859797262,33712.10234759604,69421.11117064848,0.17723612066330507,-0.02416731460946131,0.9104031727639312
2020-01,East,Speakers,113263.24704262942,93938.98335751322,31,964,9,2,1012.6213104495008,19591.275645907157,37375.79031616365,30809.00256792101,-0.24883677635920298,0.2634247688375331,0.5085965506270858
2018-08,East,Tablets,72020.24476309946,104978.77705121254,37,266,17,1,1485.4625956581112,9125.339675816009,20678.99435091394,41612.14826520329,-0.36413402720131394,0.11752089813112043,0.3506489920751523
2018-12,South,Smartphones,121849.09004589656,148570.39880838717,52,668,20,6,4953.956016457557,16785.332480116846,20289.957776744068,54356.58624220036,0.7129131477703929,0.017762913526523372,-0.2678668600349764
2022-12,West,Headphones,52614.58182530689,82610.26376422937,85,749,16,5,1541.0596382635435,9314.215250326442,32387.118249163024,28105.562301150298,-0.6424437451462666,-0.3329928812176256,-0.5951438715513755
2021-03,West,Headphones,160084.305634939,37950.563634504,27,426,43,9,2565.1397063059726,9130.586141427404,43962.46325453405,56012.98285338853,2.0425843954525296,-0.5406071605967107,0.9929500877161259
2022-10,East,Headphones,61037.19417345363,144840.83013832255,86,964,31,5,7550.887983976696,5862.6906209062245,38800.347347867726,30202.16526356885,-0.15249948991110818,0.3797153501575259,-0.27419836459574565
2014-09,West,Headphones,144367.04298681783,125167.40650842572,93,628,49,18,5323.454422494137,6789.809895789756,29557.3879872841,43900.48711258898,-0.09818115889488432,2.298169895812184,-0.21624443341115163
2010-06,West,Laptops,168951.54614383992,77797.24414362856,45,943,37,19,5342.157398463305,12829.50964171351,20203.777327945365,11635.886159909624,0.17029165832029203,-0.378454453009765,-0.7349485865596945
2017-08,West,Tablets,69896.58116809482,147887.40643473226,16,372,19,15,6383.962826482693,13652.647731635638,40373.88904404083,15472.762552865344,-0.5862921484684898,0.9009337420963637,0.32974509549391473
2023-06,South,Speakers,127795.80359990188,71464.29004183513,32,978,25,15,8096.668013359285,17237.6528159601,47049.84790450691,25897.083402884447,0.048803922555066936,-0.5189870215398467,-0.523570459566886
2013-06,West,Headphones,166860.12715392045,74654.42352096344,43,475,48,9,2427.273559732339,5903.227844688777,18520.812839394894,66454.51018621265,1.3872430434421,-0.49519417967539403,3.294935048551248
2021-02,North,Headphones,89095.01821355021,103167.76238279048,30,474,21,14,2557.4283425341496,10342.252785121473,41963.74884850922,56226.89354161221,0.07751461292666217,-0.029594074658677916,0.3045036858650332
2012-01,South,Smartwatches,74437.48895024287,62921.6863386428,79,433,41,5,2092.634652031192,8002.382759807329,16897.8211392898,72541.36889449954,-0.41752790895005554,-0.11953667626434827,1.8011404900684607
2023-09,West,Tablets,100522.86664511853,113828.57821568791,89,102,19,17,9431.463495203592,10368.162660827296,46031.31913107028,73329.76443949158,-0.3975620877215861,0.5247398994879939,0.10345805324595325
2015-02,West,Smartphones,133204.87648749736,48342.03647406071,56,342,24,15,6195.612012729804,10314.599993757742,35681.99575543225,36226.99814043804,0.3251201535841388,-0.5753084398325711,-0.5059714371463593
2012-02,North,Tablets,136291.93922821252,42963.03832297842,62,719,23,17,1833.763806587204,10314.196561305876,17240.4001704686,35727.16343228055,0.5297369253748496,-0.5835614020243098,-0.3645894129676628
2017-09,South,Tablets,69631.45001865305,94185.36090769866,93,150,5,9,2985.810048114653,9644.5015071258,11450.381151877851,68502.01347191242,-0.06456476433269231,0.49686644443690864,-0.055683473914887816
2014-05,East,Speakers,118635.32715109574,96659.24188732811,50,981,8,13,7530.31044921561,16459.67146510939,37784.65174473627,39851.02890479291,0.9436563026465716,-0.33265197530959445,0.3194758904542163
2015-03,East,Tablets,90242.32933092318,42798.60835556287,84,449,7,13,1260.9251093579014,15345.594304337146,34244.07296211386,70004.09134007938,-0.2393300419192237,-0.5572217666940578,0.7566445149339656
2011-07,South,Speakers,176303.6327097426,145701.15133573813,41,273,12,5,7530.90002188276,10122.038429226535,34452.712660269564,45415.08851677747,1.531954061886029,0.5469617563872242,-0.3370254943615808
2014-07,West,Headphones,97036.26980960462,98794.39891285004,23,215,45,14,9203.179763734544,7197.321536297882,29290.47675918713,39729.91869645012,-0.27152614552581733,1.043654055944891,0.09669364661219282
2019-04,West,Headphones,175805.67868007894,48124.199099631136,97,794,48,7,1507.435891942485,12774.205510114884,34577.725736349865,29534.89284477707,0.8117522347574591,-0.5128853494813693,-0.2566082737185158
2014-11,East,Laptops,114284.69189026882,67373.10291987588,26,460,9,5,2677.784011827028,18782.71430457277,44928.92369955361,18854.07911194606,0.2664200130648344,0.5741891035370281,-0.7306717543071436
